,Latitude,Longitude
0,31.6473987,-95.8009005
1,31.6473256,-95.8005056
2,31.6471868,-95.7999735
3,31.647084,-95.799659
4,31.647063,-95.79947
5,31.6470522,-95.7989466
6,31.6470996,-95.7984781
7,31.6471799,-95.7981561
8,31.647336,-95.797594
9,31.6474456,-95.797056
10,31.6476032,-95.7962828
11,31.6478766,-95.7944651
12,31.648676,-95.7889361
13,31.6492648,-95.7848617
14,31.6495026,-95.7831495
15,31.6496657,-95.7820143
16,31.6498032,-95.781068
17,31.6499736,-95.7799916
18,31.6501589,-95.7791001
19,31.6503684,-95.7780696
20,31.6511138,-95.7746436
21,31.651586,-95.7724733
22,31.652029,-95.7704372
23,31.6521888,-95.7696975
24,31.6523238,-95.7691832
25,31.6524743,-95.7686629
26,31.6527529,-95.7677807
27,31.6529621,-95.7670941
28,31.6531679,-95.766419
29,31.6532045,-95.7662988
30,31.6533014,-95.7660081
31,31.6534105,-95.7657337
32,31.6535472,-95.7654145
33,31.6537946,-95.764886
34,31.6539953,-95.7645283
35,31.6541822,-95.7642234
36,31.6543587,-95.7639611
37,31.6545836,-95.7636501
38,31.6547584,-95.7634184
39,31.6549574,-95.7631704
40,31.6551875,-95.7629224
41,31.6554713,-95.7626297
42,31.6557274,-95.7623878
43,31.6564074,-95.7618085
44,31.6595814,-95.7591482
45,31.6642158,-95.7552773
46,31.6654494,-95.7542447
47,31.6673871,-95.7526083
48,31.6688923,-95.7513521
49,31.6695825,-95.7508215
50,31.6699839,-95.750541
51,31.6705202,-95.7501955
52,31.6709614,-95.7499312
53,31.6717278,-95.7494799
54,31.6737184,-95.7482543
55,31.6744317,-95.7478151
56,31.6747881,-95.7475712
57,31.6751687,-95.7473049
58,31.6755839,-95.7470061
59,31.675999,-95.7467032
60,31.6783033,-95.7450526
61,31.6795384,-95.7441623
62,31.6799553,-95.7438655
63,31.6803035,-95.7436029
64,31.6803704,-95.7435525
65,31.6808634,-95.7431825
66,31.6816713,-95.7426073
67,31.6818875,-95.7424487
68,31.6820899,-95.7422902
69,31.682294,-95.7421174
70,31.6824947,-95.7419405
71,31.6827368,-95.7417251
72,31.6829634,-95.7415035
73,31.6831554,-95.7413023
74,31.6834668,-95.7409587
75,31.6837384,-95.7406558
76,31.6850115,-95.7390784
77,31.6856411,-95.7382816
78,31.6885324,-95.7345581
79,31.6891957,-95.7337039
80,31.6913941,-95.7309312
81,31.691612,-95.7306711
82,31.6918732,-95.7303865
83,31.6923125,-95.7299067
84,31.6927778,-95.7294291
85,31.6944122,-95.7277764
86,31.6959434,-95.7262295
87,31.6984576,-95.7236602
88,31.6987672,-95.723339
89,31.6990404,-95.7230422
90,31.6994405,-95.7226099
91,31.6995766,-95.7224629
92,31.6999951,-95.7220421
93,31.7002386,-95.7217976
94,31.7004737,-95.7215615
95,31.7006479,-95.7214864
